ID,PwsID,WaterSystemName,WaterSystemCounty,PSCODE,DISTRICT,SchoolName,SchoolAddress,SchoolCounty,SchoolSiteName,SAMPLE_DATE,RESULT,RPT_UNIT,Action_Level_Exceedance?,ALE_Follow_Up_Action,ALE_Follow_Up_Status
17343,CA4310009,CITY OF PALO ALTO,SANTA CLARA,4310009-AAB-A,Palo Alto Unified,Addison Elementary,650 Addison Avenue Palo Alto CA 94301-3206,Santa Clara,Drinking Fountain Rm 1(AAB_A),2018-09-06,575.0,UG/L,No,,
18260,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BIE-A,Alum Rock Union Elementary,Adelante Dual Language Academy,2999 Ridgemont Drive San Jose CA 95127-4649,Santa Clara,Sample Location 1,2018-03-14,5.0,UG/L,No,,
19529,CA5010018,RIVERBANK CITY OF,STANISLAUS,5010018-AAB-A,Riverbank Unified,Adelante High,6801 Seventh Street Riverbank CA 95367,Stanislaus,Office sink,2018-01-04,5.0,UG/L,No,,
9338,CA3110008,CITY OF ROSEVILLE,PLACER,3110008-AAB-A,Roseville Joint Union High,Adelante High (Continuation),350 Atlantic Street Roseville CA 95678-1849,Placer,North Square- Drinking Fountain,2017-05-16,5.0,UG/L,No,,
11857,CA3610001,ADELANTO CITY OF,SAN BERNARDINO,3610001-AAB-A,Victor Valley Union High,Adelanto High,15620 Joshua Street Adelanto CA 92392-5600,San Bernardino,BLDG A - ADJACENT TO ROOM A131 EAST SIDE OF HALLWAY DRINKING FOUNTAIN,2017-07-25,5.0,UG/L,No,,
16774,CA4110013,CITY OF DALY CITY,SAN MATEO,4110013-ACB-A,Jefferson Union High,Adult Education Division,699 Serramonte Boulevard Suite 111 Daly City CA 94015-3219,San Mateo,Entry Drinking fountain,2018-04-24,5.0,UG/L,No,,
7149,CA2310004,WILLITS CITY OF,MENDOCINO,2310004-AAI-A,,Adventist Christian School,22751 Bray Rd Willits CA 95490,Mendocino,Kitchen sink,2018-01-17,5.0,UG/L,No,,
8757,CA3010062,CITY OF GARDEN GROVE,ORANGE,3010062-AAE-A,Garden Grove Unified,Agnes Ware Stanley Elementary,12201 Elmwood Avenue Garden Grove CA 92840-3439,Orange,Building B Outside of multipurpose room,2018-04-20,5.0,UG/L,No,,
3817,CA1010007,CITY OF FRESNO,FRESNO,1010007-AEB-A,Fresno Unified,Ahwahnee Middle,1127 East Escalon Avenue Fresno CA 93710-5510,Fresno,Kitchen Sink-Cold		,2018-06-29,88.0,UG/L,No,,
3822,CA1010007,CITY OF FRESNO,FRESNO,1010007-AEC-A,Fresno Unified,Akira Yokomi Elementary,2323 East McKenzie Fresno CA 93701-2221,Fresno,Cafeteria Â® Fountain		,2018-06-29,5.0,UG/L,No,,
5400,CA1910034,DOWNEY - CITY WATER DEPT,LOS ANGELES,1910034-AAB-A,Downey Unified,Alameda Elementary,8613 East Alameda Street Downey CA 90242-2620,Los Angeles,Drinking Fountain/ East end of F-wing,2017-05-09,5.0,UG/L,No,,
1074,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BDD-A,Alameda Unified,Alameda High,2201 Encinal Avenue Alameda CA 94501-4406,Alameda,Fountain	Upper Left Fountain Near Media Center (Room 133),2017-11-28,5.0,UG/L,No,,
1136,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BEF-A,Alameda Unified,Alameda Science and Technology Institute,555 Atlantic Avenue Alameda CA 94501-2109,Alameda,Tap	Right Tap in Womenâ€™s Restroom,2017-11-29,5.0,UG/L,No,,
19237,CA4810008,CITY OF VACAVILLE,SOLANO,4810008-AAC-A,Vacaville Unified,Alamo Elementary,500 South Orchard Avenue Vacaville CA 95688-4334,Solano,Cafeteria Kitchen Sink,2018-02-20,5.0,UG/L,No,,
9606,CA3310009,EASTERN MUNICIPAL WD,RIVERSIDE,3310009-AAB-A,Temecula Valley Unified,Alamos Elementary,38200 Pacific Park Drive Murrieta CA 92563-3242,Riverside,AE Library,2018-05-30,5.0,UG/L,No,,
13604,CA3710014,OCEANSIDE CITY OF,SAN DIEGO,3710014-AAB-A,Vista Unified,Alamosa Park Elementary,5130 Alamosa Park Drive Oceanside CA 92057-6301,San Diego,3710014-AES-A,2017-03-14,5.0,UG/L,No,,
11596,CA3410029,SCWA - LAGUNA/VINEYARD,SACRAMENTO,3410029-AAB-A,,Alan Rowe Prep-College ,9424 Big Horn Blvd Elk Grove  CA 95758,Sacramento,Main Hall Near Sudent Restrooms 2 wall mounted high codlers,2017-04-19,5.0,UG/L,No,,
945,CA0110005,EAST BAY MUD,ALAMEDA,0110005-BAI-C,Albany Unified,Albany Childrens Center,720 Jackson St Albany CA 94706,Alameda,Fountain	Classroom 10 / Fountain,2017-11-15,82.0,UG/L,No,,
843,CA0110005,EAST BAY MUD,ALAMEDA,0110005-AII-A,Albany City Unified,Albany High,603 Key Route Boulevard Albany CA 94706-1422,Alameda,Tap	Kitchen sink,2017-11-15,5.0,UG/L,No,,
794,CA0110005,EAST BAY MUD,ALAMEDA,0110005-AHI-A,Albany City Unified,Albany Middle,1259 Brighton Avenue Albany CA 94706-1336,Alameda,Fountain	Water fountain in music room lobby,2017-11-15,5.0,UG/L,No,,
3109,CA0510001,UNION PUBLIC UTILITY DISTRICT,CALAVERAS,0510001-AAB-A,Vallecito Union,Albert A Michelson Elementary,196 Pennsylvania Gulch Road Murphys CA 95247-9521,Calaveras,STAFF KITCHEN SINK,2018-01-26,5.0,UG/L,No,,
6691,CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,LOS ANGELES,1910211-ABB-A,Bellflower Unified,Albert Baxter Elementary,14929 Cerritos Avenue Bellflower CA 90706-2827,Los Angeles,Administration Building Room 9 Teacher Lounge Drinking Fountain,2018-04-19,5.0,UG/L,No,,
10651,CA3410010,CALAM - SUBURBAN,SACRAMENTO,3410010-AAE-A,Sacramento City Unified,Albert Einstein Middle,9325 Mirandy Drive Sacramento CA 95826-5224,Sacramento,Kitchen,2017-09-12,5.0,UG/L,No,,
10455,CA3410004,CARMICHAEL WATER DISTRICT,SACRAMENTO,3410004-AAE-A,San Juan Unified,Albert Schweitzer Elementary,4350 Glenridge Drive Carmichael CA 95608-2043,Sacramento,Room 8,2017-10-12,5.0,UG/L,No,,
10159,CA3310031,RIVERSIDE CITY OF,RIVERSIDE,3310031-ADD-C,Riverside Unified,Alcott Elementary,2433 Central Avenue Riverside CA 92506-3408,Riverside,Primary Field Drinking Fountain (Tall Unit),2018-08-24,58.0,UG/L,No,,
12411,CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,3610041-ACA-A,Fontana Unified,Alder Middle,7555 Alder Avenue Fontana CA 92336-2303,San Bernardino,Building F Kitchen,2018-04-25,5.0,UG/L,No,,
9065,CA3010092,IRVINE RANCH WATER DISTRICT,ORANGE,3010092-AAD-E,Irvine Unified,Alderwood Elementary,2005 Knollcrest Irvine CA 92603-1600,Orange,Kitchen,2017-10-03,508.0,UG/L,No,,
5164,CA1910001,CITY OF ALHAMBRA,LOS ANGELES,1910001-AAB-A,Alhambra Unified,Alhambra High,101 South Second Street Alhambra CA 91801-3716,Los Angeles,Moor Field Drinking Fountain,2017-08-29,56.0,UG/L,No,,
3499,CA0710006,CITY OF MARTINEZ,CONTRA COSTA,0710006-AAE-A,Martinez Unified,Alhambra Senior High,150 E Street Martinez CA 94553-3139,Contra Costa,#1 - Water fountain outside of room 105 across the corner of building A,2018-02-08,5.0,UG/L,No,,
11978,CA3610014,COLTON CITY OF,SAN BERNARDINO,3610014-AAC-B,Colton Joint Unified,Alice Birney Elementary,1050 East Olive Street Colton CA 92324-2531,San Bernardino,Drinking foutain by library,2018-02-07,55.0,UG/L,No,,
11122,CA3410020,CITY OF SACRAMENTO MAIN,SACRAMENTO,3410020-ADE-A,Sacramento City Unified,Alice Birney Waldorf-Inspired,6251 13th Street Sacramento CA 95831-1861,Sacramento,LOW exterior drinking fountain southeast of room 3 (labeled #1 on map),2017-09-27,5.0,UG/L,No,,
19434,CA5010010,MODESTO CITY OF,STANISLAUS,5010010-AAB-C,Empire Union Elementary,Alice N Stroud Elementary,815 Frazine Road Modesto CA 95357-0255,Stanislaus,Bldg E - Sink in Room #9,2018-03-27,66.0,UG/L,No,,
17012,CA4210016,GOLDEN STATE WATER COMPANY - ORCUTT,SANTA BARBARA,4210016-AAC-A,Orcutt Union Elementary,Alice Shaw Elementary,759 Dahlia Place Santa Maria CA 93455-2931,Santa Barbara,Cafeteria Kitchen food prep sink,2017-12-06,5.0,UG/L,No,,
7218,CA2410009,CITY OF MERCED,MERCED,2410009-ABC-B,Merced City Elementary,Alicia Reyes Elementary,123 South N Street Merced CA 95340,Merced,North-Preschool ,2017-09-15,66.0,UG/L,No,,
8992,CA3010073,MOULTON NIGUEL WATER DISTRICT,ORANGE,3010073-AAB-A,Capistrano Unified,Aliso Niguel High,28000 Wolverine Way Aliso Viejo CA 92656-3385,Orange,Between Room 600 & Mens Restroom,2018-05-22,5.0,UG/L,No,,
9031,CA3010073,MOULTON NIGUEL WATER DISTRICT,ORANGE,3010073-ABB-A,Capistrano Unified,Aliso Viejo Middle,111 Park Avenue Aliso Viejo CA 92656-2847,Orange,Drinking Fountain Building #605 (Leftside) ,2018-05-22,5.0,UG/L,No,,
2669,CA0110006,CITY OF HAYWARD,ALAMEDA,0110006-AAB-A,,All Saints Catholic School,22870 Second Street Hayward CA 94541,Alameda,Drinking fountain across from Science Room,2018-05-08,5.0,UG/L,No,,
16663,CA4110009,CALIFORNIA WATER SERVICE-S SAN FRANCISCO,SAN MATEO,4110009-AAD-A,,All Souls Catholic Elementary,479 Miller Avenue South San Francisco CA 94080,San Mateo,S1 DF lower level hallway,2018-01-19,5.0,UG/L,No,,
7212,CA2410009,CITY OF MERCED,MERCED,2410009-ABB-A,Merced City Elementary,Allan Peterson Elementary,848 East Donna Drive Merced CA 95340-0600,Merced,Kitchen,2017-09-08,5.0,UG/L,No,,
15134,CA3710025,SWEETWATER AUTHORITY,SAN DIEGO,3710025-ACJ-A,Chula Vista Elementary,Allen (Ella B) Elementary,4300 Allen School Road Bonita CA 91902-2309,San Diego,Bldg 800 interior main bldg door right side of office door (single fountain),2017-08-10,6.0,UG/L,No,,
6024,CA1910142,GSWC-SAN DIMAS,LOS ANGELES,1910142-AAB-A,Bonita Unified,Allen Avenue Elementary,740 East Allen Avenue San Dimas CA 91773-1437,Los Angeles,Drinking fountain outside office building,2017-05-26,5.0,UG/L,No,,
17643,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-AEH-A,San Jose Unified,Allen at Steinbeck,820 Steinbeck Drive San Jose CA 95123-2634,Santa Clara,Kitchen sink (food prep sink),2017-09-20,5.0,UG/L,No,,
715,CA0110005,EAST BAY MUD,ALAMEDA,0110005-AGC-A,Oakland Unified,Allendale Elementary,3670 Penniman Avenue Oakland CA 94619-1116,Alameda,Fountain	Main bldg Class 6 DF,2017-11-09,5.0,UG/L,No,,
1913,CA0110005,EAST BAY MUD,ALAMEDA,0110005-CEE-A,Oakland Unified,Alliance Academy,1800 98th Ave Oakland CA 94603-2702,Alameda,Fountain	Trough fountain left most spigot of 4,2017-12-20,5.0,UG/L,No,,
5626,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABE-A,Los Angeles Unified,Alliance Alice M Baxter College-Ready High,461 West 9th Street San Pedro CA 90731-3211,Los Angeles,First Floor Drinking Fountain Near Entrance,2017-06-01,5.0,UG/L,No,,
5598,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAC-A,Los Angeles Unified,Alliance Cindy and Bill Simon Technology Academy High,10720 South Wilmington Avenue Los Angeles CA 90059-1236,Los Angeles,First Floor Drinking Fountain,2017-06-07,5.0,UG/L,No,,
5622,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABB-A,Los Angeles Unified,Alliance College-Ready Middle Academy 12,100 East 49th Street Los Angeles CA 90011-3928,Los Angeles,Drinking Fountain Next to Girls Restroom,2017-06-01,5.0,UG/L,No,,
5608,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAF-A,Los Angeles Unified,Alliance College-Ready Middle Academy 4,9719 South Main Street Los Angeles CA 90003-4135,Los Angeles,First Floor Drinking Water Fountain Outside Bathroom Near Rooms 101 and 102,2017-06-09,5.0,UG/L,No,,
5628,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABF-A,Los Angeles Unified,Alliance College-Ready Middle Academy 5,211 South Ave 20 Los Angeles CA 90031-2508,Los Angeles,first floor drinking fountain by restroom,2017-06-02,5.0,UG/L,No,,
5636,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABI-A,Los Angeles Unified,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,2023 South Union Ave Los Angeles CA 90007-1326,Los Angeles,First floor drinking water fountain outside of annenberg library,2017-06-03,5.0,UG/L,No,,
5601,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAD-A,Los Angeles Unified,Alliance Jack H Skirball Middle,603 East 115th Street Los Angeles CA 90059-2322,Los Angeles,First Floor Drinking Fountain Outside Room 101,2017-06-02,5.0,UG/L,No,,
5605,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAE-A,Los Angeles Unified,Alliance Judy Ivie Burton Technology Academy High,10101 South Broadway Los Angeles CA 90003-4534,Los Angeles,First Floor Inside Drinking Water Fountain,2017-05-25,5.0,UG/L,No,,
5617,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAJ-A,Los Angeles Unified,Alliance Leadership Middle Academy,2941 West 70th Street Los Angeles CA 90043-4420,Los Angeles,First Floor Drinking Fountain Between Room 125 and Faculty Room,2017-06-01,5.0,UG/L,No,,
5643,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ACA-A,LAUSD,Alliance Marine Innovation and Technology 6-12 Complex,11933 Allegheny Street Los Angeles CA 91352,Los Angeles,Middle school side outside between girls and boys restroom left side fountain,2017-06-09,5.0,UG/L,No,,
5609,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAG-A,Los Angeles Unified,Alliance Ouchi-ODonovan 6-12 Complex,5356 South Fifth Avenue Los Angeles CA 90043-2622,Los Angeles,First Floor Drinking Fountain,2017-06-06,5.0,UG/L,No,,
5620,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABA-A,Los Angeles Unified,Alliance Patti And Peter Neuwirth Leadership Academy,4610 South Main Street Los Angeles CA 90037-2736,Los Angeles,First Floor Drinking Water Fountain,2017-06-02,5.0,UG/L,No,,
5613,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAI-A,Los Angeles Unified,Alliance Renee and Meyer Luskin Academy High,2941 West 70th St Los Angeles CA 90043-4420,Los Angeles,Drinking Fountain Outside Room 116,2017-05-30,5.0,UG/L,No,,
5639,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABJ-A,LAUSD,Alliance Richard Merkin Middle School,2023 South Union Avenue Los Angeles CA 90007,Los Angeles,First floor drinking water fountain next to kitchen,2017-06-03,5.0,UG/L,No,,
5630,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABG-A,Los Angeles Unified,Alliance Susan and Eric Smidt Technology High,211 South Avenue 20 Los Angeles CA 90031-2508,Los Angeles,first floor drinking fountain by restroom,2017-05-26,5.0,UG/L,No,,
5632,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABH-A,LAUSD,Alliance Ted K Tajima High School,1552 West Rockwood Street Los Angeles CA 90026,Los Angeles,first floor drinking fountain ,2017-05-31,5.0,UG/L,No,,
5611,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAH-A,LAUSD,Alliance William and Carol Ouchi High School,5356 South 5th Avenue Los Angeles CA 90047,Los Angeles,First Floor Drinking Fountain,2017-06-06,5.0,UG/L,No,,
17653,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-AEI-F,San Jose Unified,Almaden Elementary,1295 Dentwood Drive San Jose CA 95118-3018,Santa Clara,Sample Location 6,2018-05-31,5.0,UG/L,No,,
12515,CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,3610041-AEA-A,Fontana Unified,Almeria Middle,7723 Almeria Avenue Fontana CA 92336-8702,San Bernardino,Multipurpose Kitchen Sink,2018-05-11,5.0,UG/L,No,,
12351,CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,3610041-AAH-A,Fontana Unified,Almond Elementary,8172 Almond Avenue Fontana CA 92335-3020,San Bernardino,Kitchen South of MPR Building,2018-04-12,5.0,UG/L,No,,
18265,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BIF-A,Alum Rock Union Elementary,Alpha: Blanca Alvarado Middle,1601 Cunningham Ave San Jose CA 95122-2322,Santa Clara,Sample Location 1,2018-03-16,5.0,UG/L,No,,
15444,CA3710037,PADRE DAM MWD,SAN DIEGO,3710037-ABF-A,Alpine Union Elementary,Alpine Elementary,1850 Alpine Boulevard Alpine CA 91901-3898,San Diego,Playground drinking fountain,2017-09-13,5.0,UG/L,No,,
7613,CA2810003,NAPA CITY OF,NAPA,2810003-AAB-A,Napa Valley Unified,Alta Heights Elementary,15 Montecito Boulevard Napa CA 94559-2122,Napa,Room 7 Faucet,2018-05-03,86.0,UG/L,No,,
12033,CA3610018,CUCAMONGA VALLEY WATER DISTRICT,SAN BERNARDINO,3610018-AAB-A,Alta Loma Elementary,Alta Loma Elementary,7085 Amethyst Street Alta Loma CA 91701-5007,San Bernardino,Nurses office,2017-04-19,5.0,UG/L,No,,
12038,CA3610018,CUCAMONGA VALLEY WATER DISTRICT,SAN BERNARDINO,3610018-AAC-A,Alta Loma Elementary,Alta Loma Junior High,9000 Lemon Avenue Alta Loma CA 91701-3357,San Bernardino,East side exterior by boys restroom,2017-04-19,5.0,UG/L,No,,
18870,CA4510005,CITY OF REDDING,SHASTA,4510005-ACB-A,Enterprise Elementary,Alta Mesa Elementary,2301 Saturn Skyway Redding CA 96002-2813,Shasta,CAFE / DRINKING FOUNTAIN,2018-03-21,5.0,UG/L,No,,
9835,CA3310009,EASTERN MUNICIPAL WD,RIVERSIDE,3310009-AEH-E,Murrieta Valley Unified,Alta Murrieta Elementary,39475 Whitewood Road Murrieta CA 92563-6512,Riverside,AME #6 Kitchen,2018-05-03,11.0,UG/L,No,,
7752,CA2910006,NEVADA ID - LOMA RICA,NEVADA,2910006-AAB-D,Pleasant Ridge Union Elementary,Alta Sierra Elementary,16607 Annie Drive Grass Valley CA 95949-7147,Nevada,Drinking Fountain outside of Restroom in front of Room 8,2018-04-26,14.0,UG/L,No,,
18211,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BGI-A,Union Elementary,Alta Vista Elementary,200 Blossom Valley Road Los Gatos CA 95032-3809,Santa Clara,Sample Location 1,2018-01-31,5.0,UG/L,No,,
15229,CA3710027,VISTA IRRIGATION DISTRICT,SAN DIEGO,3710027-AAB-A,Vista Unified,Alta Vista High (Continuation),1575 Bonair Drive Vista CA 92084-3572,San Diego,The Quad,2017-03-15,5.0,UG/L,No,,
