ID,PwsID,WaterSystemName,WaterSystemCounty,PSCODE,DISTRICT,SchoolName,SchoolAddress,SchoolCounty,SchoolSiteName,SAMPLE_DATE,RESULT,RPT_UNIT,Action_Level_Exceedance.,ALE_Follow_Up_Action,ALE_Follow_Up_Status
5164,CA1910001,CITY OF ALHAMBRA,LOS ANGELES,1910001-AAB-A,Alhambra Unified,Alhambra High,101 South Second Street Alhambra CA 91801-3716,Los Angeles,Moor Field Drinking Fountain,2017-08-29,56,UG/L,No,NA,NA
3503,CA0710006,CITY OF MARTINEZ,CONTRA COSTA,0710006-AAE-E,Martinez Unified,Alhambra Senior High,150 E Street Martinez CA 94553-3139,Contra Costa,#5 - Sink inside building C (commons) kitchen,2018-02-08,5,UG/L,No,NA,NA
11978,CA3610014,COLTON CITY OF,SAN BERNARDINO,3610014-AAC-B,Colton Joint Unified,Alice Birney Elementary,1050 East Olive Street Colton CA 92324-2531,San Bernardino,Drinking foutain by library,2018-02-07,55,UG/L,No,NA,NA
11126,CA3410020,CITY OF SACRAMENTO MAIN,SACRAMENTO,3410020-ADE-E,Sacramento City Unified,Alice Birney Waldorf-Inspired,6251 13th Street Sacramento CA 95831-1861,Sacramento,Multipurpose sink (labeled #5 on map),2017-09-27,5,UG/L,No,NA,NA
19434,CA5010010,MODESTO CITY OF,STANISLAUS,5010010-AAB-C,Empire Union Elementary,Alice N Stroud Elementary,815 Frazine Road Modesto CA 95357-0255,Stanislaus,Bldg E - Sink in Room #9,2018-03-27,66,UG/L,No,NA,NA
17016,CA4210016,GOLDEN STATE WATER COMPANY - ORCUTT,SANTA BARBARA,4210016-AAC-E,Orcutt Union Elementary,Alice Shaw Elementary,759 Dahlia Place Santa Maria CA 93455-2931,Santa Barbara,Left side sink drinking fountain in Kinder room K2,2017-12-06,5,UG/L,No,NA,NA
7218,CA2410009,CITY OF MERCED,MERCED,2410009-ABC-B,Merced City Elementary,Alicia Reyes Elementary,123 South N Street Merced CA 95340,Merced,North-Preschool ,2017-09-15,66,UG/L,No,NA,NA
8996,CA3010073,MOULTON NIGUEL WATER DISTRICT,ORANGE,3010073-AAB-E,Capistrano Unified,Aliso Niguel High,28000 Wolverine Way Aliso Viejo CA 92656-3385,Orange,Close to Stadium Restroom,2018-05-22,5,UG/L,No,NA,NA
9035,CA3010073,MOULTON NIGUEL WATER DISTRICT,ORANGE,3010073-ABB-E,Capistrano Unified,Aliso Viejo Middle,111 Park Avenue Aliso Viejo CA 92656-2847,Orange,Drinking Fountain Building #105 (Rightside),2018-05-22,5,UG/L,No,NA,NA
2670,CA0110006,CITY OF HAYWARD,ALAMEDA,0110006-AAB-B,NA,All Saints Catholic School,22870 Second Street Hayward CA 94541,Alameda,Drinking fountain in play ground,2018-05-08,5,UG/L,No,NA,NA
16667,CA4110009,CALIFORNIA WATER SERVICE-S SAN FRANCISCO,SAN MATEO,4110009-AAD-E,NA,All Souls Catholic Elementary,479 Miller Avenue South San Francisco CA 94080,San Mateo,S5 DF outside of grade 7 classroom,2018-01-19,5,UG/L,No,NA,NA
7216,CA2410009,CITY OF MERCED,MERCED,2410009-ABB-E,Merced City Elementary,Allan Peterson Elementary,848 East Donna Drive Merced CA 95340-0600,Merced,Between Rm 35 and 30,2017-09-08,5,UG/L,No,NA,NA
15134,CA3710025,SWEETWATER AUTHORITY,SAN DIEGO,3710025-ACJ-A,Chula Vista Elementary,Allen (Ella B) Elementary,4300 Allen School Road Bonita CA 91902-2309,San Diego,Bldg 800 interior main bldg door right side of office door (single fountain),2017-08-10,6,UG/L,No,NA,NA
17647,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-AEH-E,San Jose Unified,Allen at Steinbeck,820 Steinbeck Drive San Jose CA 95123-2634,Santa Clara,Baseball field shorter fountain near baseball field dugout,2017-09-20,5,UG/L,No,NA,NA
6026,CA1910142,GSWC-SAN DIMAS,LOS ANGELES,1910142-AAB-C,Bonita Unified,Allen Avenue Elementary,740 East Allen Avenue San Dimas CA 91773-1437,Los Angeles,Drinking fountain outside Room 17,2017-05-26,5,UG/L,No,NA,NA
719,CA0110005,EAST BAY MUD,ALAMEDA,0110005-AGC-E,Oakland Unified,Allendale Elementary,3670 Penniman Avenue Oakland CA 94619-1116,Alameda,Fountain	Outside new bldg lower faucet on left,2017-11-09,5,UG/L,No,NA,NA
1917,CA0110005,EAST BAY MUD,ALAMEDA,0110005-CEE-E,Oakland Unified,Alliance Academy,1800 98th Ave Oakland CA 94603-2702,Alameda,Fountain	Main bldg 2nd floor hall,2017-12-20,5,UG/L,No,NA,NA
5627,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABE-B,Los Angeles Unified,Alliance Alice M Baxter College-Ready High,461 West 9th Street San Pedro CA 90731-3211,Los Angeles,First Floor Drinking Fountain Near Stairs,2017-06-01,5,UG/L,No,NA,NA
5600,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAC-C,Los Angeles Unified,Alliance Cindy and Bill Simon Technology Academy High,10720 South Wilmington Avenue Los Angeles CA 90059-1236,Los Angeles,Third Floor Drinking Fountain,2017-06-07,5,UG/L,No,NA,NA
5625,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABB-D,Los Angeles Unified,Alliance College-Ready Middle Academy 12,100 East 49th Street Los Angeles CA 90011-3928,Los Angeles,Drinking Fountain Outside Room 100,2017-06-01,5,UG/L,No,NA,NA
5608,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAF-A,Los Angeles Unified,Alliance College-Ready Middle Academy 4,9719 South Main Street Los Angeles CA 90003-4135,Los Angeles,First Floor Drinking Water Fountain Outside Bathroom Near Rooms 101 and 102,2017-06-09,5,UG/L,No,NA,NA
5629,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABF-B,Los Angeles Unified,Alliance College-Ready Middle Academy 5,211 South Ave 20 Los Angeles CA 90031-2508,Los Angeles,second floor drinking fountain between rooms 210 and 211,2017-06-02,5,UG/L,No,NA,NA
5638,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABI-C,Los Angeles Unified,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,2023 South Union Ave Los Angeles CA 90007-1326,Los Angeles,First floor drinking water fountain next to restrooms,2017-06-03,5,UG/L,No,NA,NA
5604,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAD-D,Los Angeles Unified,Alliance Jack H Skirball Middle,603 East 115th Street Los Angeles CA 90059-2322,Los Angeles,Third Floor Drinking Fountain Outside Room 303,2017-06-02,5,UG/L,No,NA,NA
5607,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAE-C,Los Angeles Unified,Alliance Judy Ivie Burton Technology Academy High,10101 South Broadway Los Angeles CA 90003-4534,Los Angeles,Second Floor Drinking Water Fountain Next to Room 221,2017-05-25,5,UG/L,No,NA,NA
5619,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAJ-C,Los Angeles Unified,Alliance Leadership Middle Academy,2941 West 70th Street Los Angeles CA 90043-4420,Los Angeles,Second Floor Drinking Fountain Between Rooms 211 and 217 ,2017-06-01,5,UG/L,No,NA,NA
5647,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ACA-E,LAUSD,Alliance Marine Innovation and Technology 6-12 Complex,11933 Allegheny Street Los Angeles CA 91352,Los Angeles,High school side inside between boys and girls restroom right side fountain,2017-06-09,5,UG/L,No,NA,NA
5610,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAG-B,Los Angeles Unified,Alliance Ouchi-ODonovan 6-12 Complex,5356 South Fifth Avenue Los Angeles CA 90043-2622,Los Angeles,Second Floor Drinking Fountain,2017-06-06,5,UG/L,No,NA,NA
5621,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABA-B,Los Angeles Unified,Alliance Patti And Peter Neuwirth Leadership Academy,4610 South Main Street Los Angeles CA 90037-2736,Los Angeles,Second Floor Drinking Water Fountain,2017-06-02,5,UG/L,No,NA,NA
5616,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAI-D,Los Angeles Unified,Alliance Renee and Meyer Luskin Academy High,2941 West 70th St Los Angeles CA 90043-4420,Los Angeles,Drinking Fountain Outside Room 100,2017-05-30,5,UG/L,No,NA,NA
5642,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABJ-D,LAUSD,Alliance Richard Merkin Middle School,2023 South Union Avenue Los Angeles CA 90007,Los Angeles,second floor drinking water fountain next to conference room under Alabama banner,2017-06-03,5,UG/L,No,NA,NA
5631,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABG-B,Los Angeles Unified,Alliance Susan and Eric Smidt Technology High,211 South Avenue 20 Los Angeles CA 90031-2508,Los Angeles,second floor drinking fountain by room 203,2017-05-26,5,UG/L,No,NA,NA
5635,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-ABH-D,LAUSD,Alliance Ted K Tajima High School,1552 West Rockwood Street Los Angeles CA 90026,Los Angeles,outdoor drinking fountain,2017-05-31,5,UG/L,No,NA,NA
5612,CA1910067,LOS ANGELES-CITY DEPT OF WATER & POWER,LOS ANGELES,1910067-AAH-B,LAUSD,Alliance William and Carol Ouchi High School,5356 South 5th Avenue Los Angeles CA 90047,Los Angeles,Second Floor Drinking Fountain,2017-06-06,5,UG/L,No,NA,NA
17654,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-AEI-G,San Jose Unified,Almaden Elementary,1295 Dentwood Drive San Jose CA 95118-3018,Santa Clara,Sample Location 7,2018-05-31,5,UG/L,No,NA,NA
12519,CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,3610041-AEA-E,Fontana Unified,Almeria Middle,7723 Almeria Avenue Fontana CA 92336-8702,San Bernardino,Room O-4 Exterior Fountain,2018-05-11,5,UG/L,No,NA,NA
12355,CA3610041,SAN GABRIEL VALLEY WC - FONTANA,SAN BERNARDINO,3610041-AAH-E,Fontana Unified,Almond Elementary,8172 Almond Avenue Fontana CA 92335-3020,San Bernardino,South Wing West of Room 30,2018-04-12,5,UG/L,No,NA,NA
18269,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BIF-E,Alum Rock Union Elementary,Alpha: Blanca Alvarado Middle,1601 Cunningham Ave San Jose CA 95122-2322,Santa Clara,Sample Location 5,2018-03-16,5,UG/L,No,NA,NA
15448,CA3710037,PADRE DAM MWD,SAN DIEGO,3710037-ABF-E,Alpine Union Elementary,Alpine Elementary,1850 Alpine Boulevard Alpine CA 91901-3898,San Diego,Cafeteria sink,2017-09-13,5,UG/L,No,NA,NA
7613,CA2810003,NAPA CITY OF,NAPA,2810003-AAB-A,Napa Valley Unified,Alta Heights Elementary,15 Montecito Boulevard Napa CA 94559-2122,Napa,Room 7 Faucet,2018-05-03,86,UG/L,No,NA,NA
12037,CA3610018,CUCAMONGA VALLEY WATER DISTRICT,SAN BERNARDINO,3610018-AAB-E,Alta Loma Elementary,Alta Loma Elementary,7085 Amethyst Street Alta Loma CA 91701-5007,San Bernardino,Teachers lounge,2017-04-19,5,UG/L,No,NA,NA
12042,CA3610018,CUCAMONGA VALLEY WATER DISTRICT,SAN BERNARDINO,3610018-AAC-E,Alta Loma Elementary,Alta Loma Junior High,9000 Lemon Avenue Alta Loma CA 91701-3357,San Bernardino,Teachers lounge,2017-04-19,5,UG/L,No,NA,NA
18874,CA4510005,CITY OF REDDING,SHASTA,4510005-ACB-E,Enterprise Elementary,Alta Mesa Elementary,2301 Saturn Skyway Redding CA 96002-2813,Shasta,CAFE SINK,2018-03-21,5,UG/L,No,NA,NA
9835,CA3310009,EASTERN MUNICIPAL WD,RIVERSIDE,3310009-AEH-E,Murrieta Valley Unified,Alta Murrieta Elementary,39475 Whitewood Road Murrieta CA 92563-6512,Riverside,AME #6 Kitchen,2018-05-03,11,UG/L,No,NA,NA
7752,CA2910006,NEVADA ID - LOMA RICA,NEVADA,2910006-AAB-D,Pleasant Ridge Union Elementary,Alta Sierra Elementary,16607 Annie Drive Grass Valley CA 95949-7147,Nevada,Drinking Fountain outside of Restroom in front of Room 8,2018-04-26,14,UG/L,No,NA,NA
18215,CA4310011,SAN JOSE WATER,SANTA CLARA,4310011-BGI-E,Union Elementary,Alta Vista Elementary,200 Blossom Valley Road Los Gatos CA 95032-3809,Santa Clara,Sample Location 5,2018-01-31,5,UG/L,No,NA,NA
15231,CA3710027,VISTA IRRIGATION DISTRICT,SAN DIEGO,3710027-AAB-C,Vista Unified,Alta Vista High (Continuation),1575 Bonair Drive Vista CA 92084-3572,San Diego,Daycare,2017-03-15,5,UG/L,No,NA,NA
